                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2572,                 1.8695,                 1.4676,                0.48189,                0.43069,                0.38391,                0.16696,                 2.0969,                  3.438,                 2.2206,              0.0002351,              0.0002351,              0.0002351
                      2,                  1.233,                  1.468,                 1.4356,                0.54772,                0.42618,                0.41881,                0.20027,                 2.0158,                 3.3231,                 2.1993,             0.00045749,             0.00045749,             0.00045749
                      3,                 1.2159,                 1.4088,                 1.4338,                0.58925,                 0.4863,                0.48073,                0.22907,                 2.0062,                 2.7388,                 2.1314,             0.00066417,             0.00066417,             0.00066417
                      4,                 1.2088,                 1.3808,                 1.4258,                0.66136,                0.46809,                0.51032,                0.22013,                 2.0613,                 2.0101,                 2.1008,             0.00064331,             0.00064331,             0.00064331
                      5,                  1.165,                 1.3015,                 1.3926,                0.65767,                0.53834,                0.56186,                0.25888,                 1.9523,                 1.8471,                 2.0544,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.1243,                 1.2236,                 1.3655,                 0.7418,                0.57284,                0.60144,                 0.2969,                 1.8172,                 1.6206,                 1.9356,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.1101,                  1.139,                 1.3419,                0.70023,                0.52813,                0.57482,                0.27831,                 1.8334,                  1.688,                 1.9396,             0.00059619,             0.00059619,             0.00059619
                      8,                  1.065,                 1.0626,                 1.3101,                0.72965,                0.61058,                0.65699,                0.32352,                 1.7793,                 1.3276,                 1.8668,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.0262,                 1.0039,                 1.2877,                0.79891,                0.65278,                0.69149,                 0.3709,                 1.6792,                 1.1931,                 1.7942,             0.00054907,             0.00054907,             0.00054907
                     10,                 1.0146,                0.96521,                 1.2772,                0.78989,                0.63803,                0.70472,                0.38548,                 1.6511,                 1.2338,                 1.7793,              0.0005255,              0.0005255,              0.0005255
                     11,                0.97143,                0.91715,                 1.2509,                0.80955,                0.59929,                0.68458,                0.37522,                 1.6438,                 1.1843,                 1.7597,             0.00050194,             0.00050194,             0.00050194
                     12,                0.95426,                0.86319,                 1.2312,                0.83096,                0.65217,                0.73078,                0.42225,                 1.5023,                 1.0207,                 1.6215,             0.00047838,             0.00047838,             0.00047838
                     13,                0.93882,                0.84434,                 1.2197,                0.84129,                0.68918,                0.75079,                0.42811,                 1.5092,                0.97308,                 1.6334,             0.00045482,             0.00045482,             0.00045482
                     14,                0.91423,                0.81162,                 1.2031,                0.86865,                  0.682,                0.75691,                0.42899,                 1.5193,                0.97497,                 1.6133,             0.00043126,             0.00043126,             0.00043126
                     15,                 0.8851,                0.77066,                 1.1911,                0.83057,                0.64407,                0.72865,                0.42267,                 1.5174,                 1.0343,                  1.644,             0.00040769,             0.00040769,             0.00040769
                     16,                0.87982,                0.74323,                 1.1817,                0.88839,                0.68672,                 0.7701,                0.42467,                 1.5948,                0.94374,                   1.72,             0.00038413,             0.00038413,             0.00038413
                     17,                0.85732,                0.71732,                 1.1611,                0.85997,                0.71579,                0.78007,                0.48689,                 1.3623,                0.87989,                 1.4855,             0.00036057,             0.00036057,             0.00036057
                     18,                0.83469,                0.68991,                  1.149,                0.89972,                0.71607,                 0.8012,                0.48594,                 1.3706,                0.79774,                 1.5089,             0.00033701,             0.00033701,             0.00033701
                     19,                 0.8211,                0.67705,                 1.1476,                0.89414,                0.72976,                0.79547,                0.48189,                 1.4216,                0.81318,                 1.5499,             0.00031345,             0.00031345,             0.00031345
                     20,                0.80455,                 0.6477,                 1.1299,                0.90231,                0.74585,                0.81991,                0.47773,                 1.4934,                0.80453,                 1.6195,             0.00028988,             0.00028988,             0.00028988
                     21,                0.81778,                0.57217,                 1.1357,                0.90296,                0.73186,                0.81592,                0.53808,                 1.2355,                0.74017,                 1.4348,             0.00026632,             0.00026632,             0.00026632
                     22,                0.80981,                0.55627,                 1.1327,                0.90674,                 0.7353,                0.81794,                0.52766,                 1.2563,                0.74068,                 1.4373,             0.00024276,             0.00024276,             0.00024276
                     23,                0.77811,                 0.5303,                  1.111,                0.91442,                0.72911,                0.82398,                0.49455,                 1.4166,                0.76897,                 1.5693,              0.0002192,              0.0002192,              0.0002192
                     24,                0.75482,                0.50736,                 1.0946,                0.91336,                  0.748,                 0.8289,                0.54915,                 1.2139,                0.67761,                 1.4149,             0.00019564,             0.00019564,             0.00019564
                     25,                0.73092,                0.48547,                 1.0802,                 0.8916,                0.76209,                0.83625,                0.55172,                 1.2068,                 0.6629,                 1.3891,             0.00017207,             0.00017207,             0.00017207
                     26,                0.71524,                0.46954,                 1.0738,                0.90636,                0.78786,                0.84942,                0.56148,                  1.267,                0.64214,                 1.4536,             0.00014851,             0.00014851,             0.00014851
                     27,                0.68987,                0.44746,                 1.0539,                0.90833,                0.79159,                0.84785,                0.56613,                 1.2256,                0.64371,                 1.4118,             0.00012495,             0.00012495,             0.00012495
                     28,                0.67191,                0.43229,                 1.0464,                0.90208,                0.78701,                0.85059,                0.57551,                 1.1792,                0.63486,                 1.3909,             0.00010139,             0.00010139,             0.00010139
                     29,                0.65091,                0.41399,                 1.0309,                0.90473,                0.77764,                0.84772,                 0.5755,                 1.1758,                0.63093,                 1.3997,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.62711,                0.39961,                 1.0168,                0.91645,                0.77342,                0.85051,                0.58837,                 1.1209,                0.60163,                 1.3497,             5.4264e-05,             5.4264e-05,             5.4264e-05
